"LOCATION","Country","TRANSACT","Transaction","PRODUCT","Product","FLOW","Flow","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","UP2Z87_88","P2, Residential care and social work activities ","PT","Services of HH as employers, undifferentiated G&S prod. by HH for own use","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2ZF","P2, Construction","P53","Postal and courier services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,88,,
"NLD","Netherlands","UP5","Gross Capital formation","P19","Coke and refined petroleum products","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,583,,
"NLD","Netherlands","UP2ZD","P2, Electricity, gas, steam and air conditioning supply ","P50","Water transport services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2ZB","P2, Mining and quarrying","P22","Rubber and plastic products","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,20,,
"NLD","Netherlands","UP2Z94","P2, Activities of membership organizations   ","P17","Paper and paper products","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,20,,
"NLD","Netherlands","UP2ZC","P2, Manufacturing","PC","Manufactured products","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,153226,,
"NLD","Netherlands","UP2ZE","P2, Water supply, sewerage, waste management and remediation activities  ","P93","Sporting services and amusement and recreation services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,3,,
"NLD","Netherlands","UP2ZS","P2, Other service activities","P49","Land transport services and transport services via pipelines","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,55,,
"NLD","Netherlands","UP2ZI","P2, Accommodation and food service activities","P03","Fish & other fishing products, aquaculture prod., support serv. to fishing","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,42,,
"NLD","Netherlands","UP2ZE","P2, Water supply, sewerage, waste management and remediation activities  ","PU","Services provided by extraterritorial organisations and bodies","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z78","P2, Employment activities  ","P64","Financial services, except insurance and pension funding","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,208,,
"NLD","Netherlands","UP2ZL","P2, Real estate activities ","PL","Real estate services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2164,,
"NLD","Netherlands","UP2ZC","P2, Manufacturing","PI","Accommodation and food services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,736,,
"NLD","Netherlands","UP2ZG","P2, Wholesale and retail trade, repair of motor vehicles and motorcycles ","PB","Mining and quarrying","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,466,,
"NLD","Netherlands","UP2ZL","P2, Real estate activities ","P90_92","Creative, arts, entmnt, library, museum, other cult. serv., gambling serv.","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,12,,
"NLD","Netherlands","UP2ZS","P2, Other service activities","P87_88","Residential care services, social work services without accommodation","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP3S14","Final consumption expenditure by households, domestic concept ","P94","Services furnished by membership organisations","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,439,,
"NLD","Netherlands","UP2Z49","P2, Land transport and transport via pipelines","P17","Paper and paper products","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,27,,
"NLD","Netherlands","UP2Z30","P2, Manufacture of other transport equipment ","P22","Rubber and plastic products","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,205,,
"NLD","Netherlands","UP2Z53","P2, Postal and courier activities","P58","Publishing services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,34,,
"NLD","Netherlands","UP2Z72","P2, Scientific research and development ","P62_63","Computer programming, consultancy and related serv., Information serv.","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,104,,
"NLD","Netherlands","UP3S15","Final consumption expenditure by NIPSH","P68A","Imputed rents of owner-occupied dwellings","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP6A","of which: Re-export ","P74_75","Other professional, scientific and tech. services and veterinary services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2Z27","P2, Manufacture of electrical equipment ","PS","Other services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,8,,
"NLD","Netherlands","UP2Z87_88","P2, Residential care and social work activities ","PG","Wholesale&retail trade serv., repair serv. of motor vehicles & motorcycles","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,74,,
"NLD","Netherlands","UP2Z37_39","P2, Sewerage, waste collection and management services  ","PK","Financial and insurance services","FTOT","Total","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,157,,
