"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Activity","PRODUCT","Product","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P30","Other transport equipment","RT","Ratio","2019","2019",,,"0","Units",,,72.6647,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P51","Air transport services","RT","Ratio","2019","2019",,,"0","Units",,,54.954955,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P37_39","Sewerage services, sewage sludge, waste collection & management serv.","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P33","Repair and installation services of machinery and equipment","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P90_92","Creative, arts, entmnt, library, museum, other cult. serv., gambling serv.","RT","Ratio","2019","2019",,,"0","Units",,,4.767787,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P80_82","Security & investigation serv., serv. to buildings & other business support","RT","Ratio","2019","2019",,,"0","Units",,,6.154278,,
"NLD","Netherlands","UP51B_FP7","Share of imported products in GFCF at basic prices ","ZTOT","Total activity","P46","Wholesale trade services, except of motor vehicles and motorcycles","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","PQ","Human health and social work services","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P23","Other non-metallic mineral products","RT","Ratio","2019","2019",,,"0","Units",,,79.088472,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P58","Publishing services","RT","Ratio","2019","2019",,,"0","Units",,,11.918493,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P02","Products of forestry, logging and related services","RT","Ratio","2019","2019",,,"0","Units",,,61.431871,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","PG","Wholesale&retail trade serv., repair serv. of motor vehicles & motorcycles","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","PB","Mining and quarrying","RT","Ratio","2019","2019",,,"0","Units",,,53.69123,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","PI","Accommodation and food services","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","PM","Professional, scientific and technical services","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P23","Other non-metallic mineral products","RT","Ratio","2019","2019",,,"0","Units",,,36.498937,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P33","Repair and installation services of machinery and equipment","RT","Ratio","2019","2019",,,"0","Units",,,12.889491,,
"NLD","Netherlands","UP51B_FP7","Share of imported products in GFCF at basic prices ","ZTOT","Total activity","PK","Financial and insurance services","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P66","Services auxiliary to financial services and insurance services","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P66","Services auxiliary to financial services and insurance services","RT","Ratio","2019","2019",,,"0","Units",,,11.891663,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P65","Insurance, reinsurance & pension funding services, exc. compulsory S.S.","RT","Ratio","2019","2019",,,"0","Units",,,0.059411,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P59_60","Audiovisual and broadcasting services","RT","Ratio","2019","2019",,,"0","Units",,,20.499109,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P17","Paper and paper products","RT","Ratio","2019","2019",,,"0","Units",,,57.213465,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","PO","Public administration and defence services, compulsory S.S. services","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP2B_FP7","Share of imported products in intermediate consumption at basic prices ","ZTOT","Total activity","P96","Other personal services","RT","Ratio","2019","2019",,,"0","Units",,,0.601604,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P17","Paper and paper products","RT","Ratio","2019","2019",,,"0","Units",,,55.571227,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","PF","Constructions and construction works","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP51B_FP7","Share of imported products in GFCF at basic prices ","ZTOT","Total activity","P68B","Real estate services excluding imputed rents ","RT","Ratio","2019","2019",,,"0","Units",,,0,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P21","Basic pharmaceutical products and pharmaceutical preparations","RT","Ratio","2019","2019",,,"0","Units",,,79.346681,,
"NLD","Netherlands","UP3S14B_FP7","Share of imported products in final cons. of households at basic prices ","ZTOT","Total activity","P36","Natural water, water treatment and supply services","RT","Ratio","2019","2019",,,"0","Units",,,0.574053,,
"NLD","Netherlands","UP6B_FP7","Share of imported products in exports at basic prices ","ZTOT","Total activity","P25","Fabricated metal products, except machinery and equipment","RT","Ratio","2019","2019",,,"0","Units",,,40.674675,,
