"LOCATION","Country","TRANSACT","Transaction","ACTIVITY","Activity","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","UB2N_B3N","Operating surplus and mixed income, net ","Z03","Fishing and aquaculture","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,138,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z47","Retail trade, except of motor vehicles and motorcycles","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,2778,,
"NLD","Netherlands","UB1G","Value added at basic prices","Z71","Architectural and engineering activities, technical testing & analysis","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,10382,,
"NLD","Netherlands","UB2N_B3N","Operating surplus and mixed income, net ","Z95","Repair of computers and personal and household goods","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,345,,
"NLD","Netherlands","UD1","Compensation of employees","Z19","Manufacture of coke and refined petroleum products","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,593,,
"NLD","Netherlands","UB1G","Value added at basic prices","Z16","Manufacture of wood and of products of wood and cork,etc.","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,1134,,
"NLD","Netherlands","UB1G","Value added at basic prices","Z61","Telecommunications","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,8221,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z45","Wholesale and retail trade and repair of motor vehicles and motorcycles","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,10730,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z10_12","Manufacture of food products, beverages and tobacco products","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,56074,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","Z87_88","Residential care and social work activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,4642,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z87_88","Residential care and social work activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2373,,
"NLD","Netherlands","UB3G","of which: Mixed income, gross","Z16","Manufacture of wood and of products of wood and cork,etc.","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,92,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","ZO","Public administration and defence, compulsory social security","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,25170,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","Z02","Forestry and logging","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","ZK","Financial and insurance activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,13906,,
"NLD","Netherlands","UB3G","of which: Mixed income, gross","Z61","Telecommunications","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,12,,
"NLD","Netherlands","UB2N_B3N","Operating surplus and mixed income, net ","Z68A","Imputed rents of owner-occupied dwellings","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,4019,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","ZE","Water supply, sewerage, waste management and remediation activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,-37,,
"NLD","Netherlands","UD1","Compensation of employees","ZU","Activities of extraterritorial organizations and bodies","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","Z21","Manufacture of basic pharmaceutical products and preparations","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,-28,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","ZS","Other service activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,4046,,
"NLD","Netherlands","UP1","Output at basic prices","Z37_39","Sewerage, waste collection and management services","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,10014,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z86","Human health activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,16379,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","Z50","Water transport","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,1856,,
"NLD","Netherlands","UD1","Compensation of employees","Z16","Manufacture of wood and of products of wood and cork,etc.","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,579,,
"NLD","Netherlands","UP1","Output at basic prices","Z21","Manufacture of basic pharmaceutical products and preparations","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,6418,,
"NLD","Netherlands","UP1","Output at basic prices","Z01","Crop and animal production, hunting and related service activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,32271,,
"NLD","Netherlands","UP1","Output at basic prices","Z62_63","IT and other information services","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,52150,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","ZG","Wholesale and retail trade, repair of motor vehicles and motorcycles","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,80569,,
"NLD","Netherlands","UP1","Output at basic prices","Z73","Advertising and market research","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,10331,,
"NLD","Netherlands","UB1G","Value added at basic prices","ZD","Electricity, gas, steam and air conditioning supply","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,8376,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","ZT","Act. of HH as employers, undif. G&S-producing activities of HH for own","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,0,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z36","Water collection, treatment and supply","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,567,,
"NLD","Netherlands","UD1","Compensation of employees","Z96","Other personal service activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,1444,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z77","Rental and leasing activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,9158,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z23","Manufacture of other non-metallic mineral products","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,4334,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","Z03","Fishing and aquaculture","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,211,,
"NLD","Netherlands","UB2N_B3N","Operating surplus and mixed income, net ","ZM","Professional, scientific and technical activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,15964,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z71","Architectural and engineering activities, technical testing & analysis","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,1026,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","Z52","Warehousing and support activities for transportation","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,152,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z93","Sports activities and amusement and recreation activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,4123,,
"NLD","Netherlands","UB1G","Value added at basic prices","Z47","Retail trade, except of motor vehicles and motorcycles","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,28197,,
"NLD","Netherlands","UP1","Output at basic prices","ZO","Public administration and defence, compulsory social security","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,81681,,
"NLD","Netherlands","UD1","Compensation of employees","ZI","Accommodation and food service activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,7971,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","ZO","Public administration and defence, compulsory social security","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,566,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","Z69_70","Legal, accounting, head offices, management consultancy activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,-23,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","Z02","Forestry and logging","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,85,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z59_60","Audiovisual and broadcasting activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,372,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","ZR","Arts, entertainment and recreation","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,8336,,
"NLD","Netherlands","UD1","Compensation of employees","Z17","Manufacture of paper and paper products","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1152,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","ZN","Administrative and support service activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,33047,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z68A","Imputed rents of owner-occupied dwellings","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,16232,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","Z45","Wholesale and retail trade and repair of motor vehicles and motorcycles","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,10,,
"NLD","Netherlands","UP1","Output at basic prices","Z20","Manufacture of chemicals and chemical products","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,49618,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","Z31_32","Manufacture of furniture, other manufacturing","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,3205,,
"NLD","Netherlands","UB3G","of which: Mixed income, gross","Z79","Travel agency, tour operator, reservation service & related activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,101,,
"NLD","Netherlands","UB1G","Value added at basic prices","ZF","Construction","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,34373,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","Z25","Manufacture of fabricated metal products, except machinery & equipment","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,3577,,
"NLD","Netherlands","UP1","Output at basic prices","Z24","Manufacture of basic metals","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,8920,,
"NLD","Netherlands","UP1","Output at basic prices","ZH","Transportation and storage","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,85790,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","Z49","Land transport and transport via pipelines","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,6954,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","ZK","Financial and insurance activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1763,,
"NLD","Netherlands","UD1","Compensation of employees","Z26","Manufacture of computer, electronic and optical products","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,2087,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","Z29","Manufacture of motor vehicles, trailers and semi-trailers","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,1202,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","ZTOT","Total activity","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,133227,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","Z31_32","Manufacture of furniture, other manufacturing","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,-83,,
"NLD","Netherlands","UB2N_B3N","Operating surplus and mixed income, net ","Z50","Water transport","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,1114,,
"NLD","Netherlands","UB3G","of which: Mixed income, gross","Z51","Air transport","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,4,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","ZH","Transportation and storage","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,15751,,
"NLD","Netherlands","UD29_D39","Other taxes less other subsidies on production ","ZR","Arts, entertainment and recreation","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,-346,,
"NLD","Netherlands","UD1","Compensation of employees","ZC","Manufacturing","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,44754,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z24","Manufacture of basic metals","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,6630,,
"NLD","Netherlands","UD11","of which: Wages and salaries ","Z69_70","Legal, accounting, head offices, management consultancy activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,20561,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z03","Fishing and aquaculture","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,74,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","ZP","Education","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,8315,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","Z33","Repair and installation of machinery and equipment","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1182,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","Z58","Publishing activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,1497,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z37_39","Sewerage, waste collection and management services","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,6630,,
"NLD","Netherlands","UB1G","Value added at basic prices","Z79","Travel agency, tour operator, reservation service & related activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,6080,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z73","Advertising and market research","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,6419,,
"NLD","Netherlands","UP1","Output at basic prices","Z69_70","Legal, accounting, head offices, management consultancy activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,80586,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","ZA","Agriculture, forestry and fishing","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,19420,,
"NLD","Netherlands","UP1","Output at basic prices","Z27","Manufacture of electrical equipment","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,7743,,
"NLD","Netherlands","UP1","Output at basic prices","Z77","Rental and leasing activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,18680,,
"NLD","Netherlands","UP1","Output at basic prices","Z31_32","Manufacture of furniture, other manufacturing","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,11333,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","ZTOT","Total activity","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,327362,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","ZM","Professional, scientific and technical activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,4689,,
"NLD","Netherlands","UB2G_B3G","Operating surplus and mixed income, gross","Z13_15","Manufacture of textiles, wearing apparel, leather and related products","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,438,,
"NLD","Netherlands","UK1","Consumption of fixed capital ","Z64","Financial service activities, except insurance and pension funding","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,2977,,
"NLD","Netherlands","UP2","Intermediate consumption at purchasers'prices","Z52","Warehousing and support activities for transportation","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,13062,,
"NLD","Netherlands","UP1","Output at basic prices","Z93","Sports activities and amusement and recreation activities","C","Current prices","2019","2019","EUR","Euro","6","Millions",,,7145,,
"NLD","Netherlands","UD1","Compensation of employees","Z66","Activities auxiliary to financial service and insurance activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,3517,,
"NLD","Netherlands","UB1G","Value added at basic prices","ZI","Accommodation and food service activities","VP","Constant prices, previous year prices","2019","2019","EUR","Euro","6","Millions",,,14965,,
