LOCATION,Country,TRANSACT,Transaction,PRODUCT,Product,FLOW,Flow,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
NLD,Netherlands,UP2Z22,"P2, Manufacture of rubber and plastics products",BP66,"Services auxiliary to financial services and insurance services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,6,,
NLD,Netherlands,UP2Z69_70,"P2, Legal, accounting, head offices, management consultancy activities",BP33,"Repair and installation services of machinery and equipment, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,429,,
NLD,Netherlands,UP3S15,Final consumption expenditure by NIPSH ,BPJ,"Information and communication services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,703,,
NLD,Netherlands,UP2Z47,"P2, Retail trade, except of motor vehicles and motorcycles ",BPI,"Accommodation and food services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,131,,
NLD,Netherlands,UP2ZN,"P2, Administrative and support service activities",BP68A,"Imputed rents of owner-occupied dwellings, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2Z53,"P2, Postal and courier activities ",BP66,"Services auxiliary to financial services and insurance services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,18,,
NLD,Netherlands,UP2Z90_92,"P2, Arts, cultural activities, gambling and betting activities",BP87_88,"Residential care services, social work services without accommodation, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP51,Gross fixed capital formation ,BPH,"Transportation and storage services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,499,,
NLD,Netherlands,UP2ZT,"P2, Act. of HH as employers, undif. G&S-producing activities of HH for own ",BPL,"Real estate services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UTOT,Total use,BP95,"Repair services of computers and personal and household goods, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,1800,,
NLD,Netherlands,UP2Z17,"P2, Manufacture of paper and paper products",BPL,"Real estate services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,66,,
NLD,Netherlands,UP2ZC,"P2, Manufacturing ",BPE,"Water supply, sewerage, waste management and remediation services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,1095,,
NLD,Netherlands,UP2Z30,"P2, Manufacture of other transport equipment ",BP79,"Travel agency, tour operator & other reservation services & related, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2Z69_70,"P2, Legal, accounting, head offices, management consultancy activities",BP46,"Wholesale trade services, except of motor vehicles and motorcycles, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,218,,
NLD,Netherlands,UP2Z86,"P2, Human health activities ",BP72,"Scientific research and development services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2ZI,"P2, Accommodation and food service activities",BP47,"Retail trade services, except of motor vehicles and motorcycles, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,UP2Z80_82,"P2, Security, services to buildings and other business support activities",BP86,"Human health services, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,11,,
NLD,Netherlands,UP2ZJ,"P2, Information and communication ",BP16,"Wood & prod. of wood & cork, exc. furniture, of straw & plaiting mat.., bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,10,,
NLD,Netherlands,UP2Z01,"P2, Crop and animal production, hunting and related service activities",BP47,"Retail trade services, except of motor vehicles and motorcycles, bp",FDOM,Domestic output used for intermediate consumption and final demand,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
