LOCATION,Country,TRANSACT,Transaction,ACTIVITY,Activity,MEASURE,Measure,TIME,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
NLD,Netherlands,SP1,Output at basic prices  ,Z26,"Manufacture of computer, electronic and optical products",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,24321,,
NLD,Netherlands,SP11,Market output at basic prices   ,ZM,"Professional, scientific and technical activities",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,119436,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z87_88,Residential care and social work activities,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,189,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z66,Activities auxiliary to financial service and insurance activities,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,SP1,Output at basic prices  ,Z03,Fishing and aquaculture,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,504,,
NLD,Netherlands,SP1,Output at basic prices  ,Z71,"Architectural and engineering activities, technical testing & analysis",C,Current prices,2019,2019,EUR,Euro,6,Millions,,,18952,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z47,"Retail trade, except of motor vehicles and motorcycles",C,Current prices,2019,2019,EUR,Euro,6,Millions,,,0,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,ZE,"Water supply, sewerage, waste management and remediation activities",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,988,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z49,Land transport and transport via pipelines,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,31667,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z93,Sports activities and amusement and recreation activities,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,835,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z20,Manufacture of chemicals and chemical products,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,1,,
NLD,Netherlands,SP1,Output at basic prices  ,Z95,Repair of computers and personal and household goods,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,1199,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z23,Manufacture of other non-metallic mineral products,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,31,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z33,Repair and installation of machinery and equipment,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,11501,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z69_70,"Legal, accounting, head offices, management consultancy activities",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,467,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,ZQ,Human health and social work activities,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,2961,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z94,Activities of membership organizations,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,2540,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z30,Manufacture of other transport equipment,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,23,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z50,Water transport,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,20,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z68B,Real estate activities excluding imputed rents,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,6,,
NLD,Netherlands,SP1,Output at basic prices  ,ZQ,Human health and social work activities,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,95333,,
NLD,Netherlands,SP1,Output at basic prices  ,Z61,Telecommunications,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,14788,,
NLD,Netherlands,SP11,Market output at basic prices   ,Z29,"Manufacture of motor vehicles, trailers and semi-trailers",VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,16194,,
NLD,Netherlands,SP12,Output for own final use at basic prices,Z77,Rental and leasing activities,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,46,,
NLD,Netherlands,SP1,Output at basic prices  ,ZP,Education,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,46289,,
NLD,Netherlands,SP1,Output at basic prices  ,ZJ,Information and communication,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,86934,,
NLD,Netherlands,SP13,Non-market output at basic prices   ,Z59_60,Audiovisual and broadcasting activities,VP,"Constant prices, previous year prices",2019,2019,EUR,Euro,6,Millions,,,1027,,
NLD,Netherlands,SP1,Output at basic prices  ,Z19,Manufacture of coke and refined petroleum products,C,Current prices,2019,2019,EUR,Euro,6,Millions,,,29633,,
